text,label
adversaries may circumvent mechanisms designed to control privilege elevation to gain higher level permissions most modern systems contain native elevation control mechanisms that are intended to limit privileges that user can perform on machine authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk an adversary can perform several methods to take advantage of built in control mechanisms in order to escalate privileges on system,1
adversaries may bypass uac mechanisms to elevate process privileges on system windows user account control uac allows program to elevate its privileges tracked as integrity levels ranging from low to high to perform task under administrator level permissions possibly by prompting the user for confirmation the impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action if the uac protection level of computer is set to anything but the highest level certain windows programs can elevate privileges or execute some elevated component object model objects without prompting the user through the uac notification box an example of this is use of rundll32 to load specifically crafted dll which loads an auto elevated component object model object and performs file operation in protected directory which would typically require elevated access malicious software may also be injected into trusted process to gain elevated privileges without prompting user many methods have been discovered to bypass uac the github readme page for uacme contains an extensive list of methods that have been discovered and implemented but may not be comprehensive list of bypasses additional bypass methods are regularly discovered and some used in the wild such as code eventvwr exe can auto elevate and execute specified binary or script another bypass is possible through some lateral movement techniques if credentials for an account with administrator privileges are known since uac is single system security mechanism and the privilege or integrity of process running on one system will be unknown on remote systems and default to high integrity,0
adversaries may leverage the code authorizationexecutewithprivileges api to escalate privileges by prompting the user for credentials the purpose of this api is to give application developers an easy way to perform operations with root privileges such as for application installation or updating this api does not validate that the program requesting root privileges comes from reputable source or has been maliciously modified although this api is deprecated it still fully functions in the latest releases of macos when calling this api the user will be prompted to enter their credentials but no checks on the origin or integrity of the program are made the program calling the api may also load world writable files which can be modified to perform malicious behavior with elevated privileges adversaries may abuse code authorizationexecutewithprivileges to obtain root privileges in order to install malicious software on victims and install persistence mechanisms this technique may be combined with masquerading to trick the user into granting escalated privileges to malicious code this technique has also been shown to work by modifying legitimate programs present on the machine that make use of this api,0
an adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in different and possibly more privileged user context on linux or macos when the setuid or setgid bits are set for an application binary the application will run with the privileges of the owning user or group respectively normally an application is run in the current user context regardless of which user or group owns the application however there are instances where programs need to be executed in an elevated context to function properly but the user running them may not have the specific required privileges instead of creating an entry in the sudoers file which must be done by root any user can specify the setuid or setgid flag to be set for their own applications linux and mac permissions the code chmod command can set these bits with bitmasking code chmod file or via shorthand naming code chmod file this will enable the setuid bit to enable the setgid bit code chmod and code chmod can be used adversaries can use this mechanism on their own malware to make sure they re able to execute in elevated contexts in the future this abuse is often part of shell escape or other actions to bypass an execution environment with restricted permissions alternatively adversaries may choose to find and target vulnerable binaries with the setuid or setgid bits already enabled file and directory discovery the setuid and setguid bits are indicated with an instead of an when viewing file attributes via code ls the code find command can also be used to search for such files for example code find perm can be used to find files with setuid set and code find perm may be used for setgid binaries that have these bits set may then be abused by adversaries,1
adversaries may perform sudo caching and use the sudoers file to elevate privileges adversaries may do this to execute commands as other users or spawn processes with higher privileges within linux and macos systems sudo sometimes referred to as superuser do allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system the code sudo command allows system administrator to delegate authority to give certain users or groups of users the ability to run some or all commands as root or another user while providing an audit trail of the commands and their arguments since sudo was made for the system administrator it has some useful configuration features such as code timestamp timeout which is the amount of time in minutes between instances of code sudo before it will re prompt for password this is because code sudo has the ability to cache credentials for period of time sudo creates or touches file at code with timestamp of when sudo was last run to determine this timeout additionally there is code tty tickets variable that treats each new tty terminal session in isolation this means that for example the sudo timeout of one tty will not affect another tty you will have to type the password again the sudoers file code describes which users can run which commands and from which terminals this also describes which commands users can run as other users or groups this provides the principle of least privilege such that users are running in their lowest possible permissions for most of the time and only elevate to other users or permissions as needed typically by prompting for password however the sudoers file can also specify when to not prompt users for passwords with line like code user1 all all nopasswd all elevated privileges are required to edit this file though adversaries can also abuse poor configurations of these mechanisms to escalate privileges without needing the user password for example code timestamp can be monitored to see if it falls within the code timestamp timeout range if it does then malware can execute sudo commands without needing to supply the user password additional if code tty tickets is disabled adversaries can do this from any tty for that user in the wild malware has disabled code tty tickets to potentially make scripting easier by issuing code echo defaults tty tickets in order for this change to be reflected the malware also issued code killall terminal as of macos sierra the sudoers file has code tty tickets enabled by default,1
adversaries can manipulate or abuse the transparency consent control tcc service or database to grant malicious executables elevated permissions tcc is privacy security macos control mechanism used to determine if the running process has permission to access the data or services protected by tcc such as screen sharing camera microphone or full disk access fda when an application requests to access data or service protected by tcc the tcc daemon tccd checks the tcc database located at support and equivalent and an overwrites file if connected to an mdm for existing permissions if permissions do not exist then the user is prompted to grant permission once permissions are granted the database stores the application permissions and will not prompt the user again unless reset for example when web browser requests permissions to the user webcam once granted the web browser may not explicitly prompt the user again adversaries may access restricted data or services protected by tcc through abusing applications previously granted permissions through process injection or executing malicious binary using another application for example adversaries can use finder macos native app with fda permissions to execute malicious applescript when executing under the finder app the malicious applescript inherits access to all files on the system without requiring user prompt when system integrity protection sip is disabled tcc protections are also disabled for system without sip enabled adversaries can manipulate the tcc database to add permissions to their malicious executable through loading an adversary controlled tcc database using environment variables and launchctl,0
adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources many cloud environments allow administrators to grant user or service accounts permission to request just in time access to roles impersonate other accounts pass roles onto resources and services or otherwise gain short term access to set of privileges that may be distinct from their own just in time access is mechanism for granting additional roles to cloud accounts in granular temporary manner this allows accounts to operate with only the permissions they need on daily basis and to request additional permissions as necessary sometimes just in time access requests are configured to require manual approval while other times the desired permissions are automatically granted account impersonation allows user or service accounts to temporarily act with the permissions of another account for example in gcp users with the iam serviceaccounttokencreator role can create temporary access tokens or sign arbitrary payloads with the permissions of service account while service accounts with domain wide delegation permission are permitted to impersonate google workspace accounts in exchange online the applicationimpersonation role allows service account to use the permissions associated with specified user accounts many cloud environments also include mechanisms for users to pass roles to resources that allow them to perform tasks and authenticate to other services while the user that creates the resource does not directly assume the role they pass to it they may still be able to take advantage of the role access for example by configuring the resource to perform certain actions with the permissions it has been granted in aws users with the passrole permission can allow service they create to assume given role while in gcp users with the iam serviceaccountuser role can attach service account to resource while users require specific role assignments in order to use any of these features cloud administrators may misconfigure permissions this could result in escalation paths that allow adversaries to gain access to resources beyond what was originally intended note this technique is distinct from additional cloud roles which involves assigning permanent roles to accounts rather than abusing existing permissions structures to gain temporarily elevated access to resources however adversaries that compromise sufficiently privileged account may grant another account they control additional cloud roles that would allow them to also abuse these features this may also allow for greater stealth than would be had by directly using the highly privileged account especially when logs do not clarify when role impersonation is taking place,0
adversaries may modify access tokens to operate under different user or system security context to perform actions and bypass access controls windows uses access tokens to determine the ownership of running process user can manipulate access tokens to make running process appear as though it is the child of different process or belongs to someone other than the user that started the process when this occurs the process also takes on the security context associated with the new token an adversary can use built in windows api functions to copy access tokens from existing processes this is known as token stealing these token can then be applied to an existing process token impersonation or used to spawn new process create process with token an adversary must already be in privileged user context administrator to steal token however adversaries commonly use token stealing to elevate their security context from the administrator level to the system level an adversary can then use token to authenticate to remote system as the account for that token if the account has appropriate permissions on the remote system any standard user can use the code runas command and the windows api functions to create impersonation tokens it does not require access to an administrator account there are also other mechanisms such as active directory fields that can be used to modify access tokens,0
adversaries may create new process with an existing token to escalate privileges and bypass access controls processes can be created with the token and resulting security context of another user using features such as code createprocesswithtokenw and code runas creating processes with token not associated with the current user may require the credentials of the target user specific privileges to impersonate that user or access to the token to be used for example the token could be duplicated via token impersonation or created via make and impersonate token before being used to create process while this technique is distinct from token impersonation the techniques can be used in conjunction where token is duplicated and then used to create new process,0
adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls for example if an adversary has username and password but the user is not logged onto the system the adversary can then create logon session for the user using the logonuser function the function will return copy of the new session access token and the adversary can use setthreadtoken to assign the token to thread this behavior is distinct from token impersonation in that this refers to creating new user token instead of stealing or duplicating an existing one,0
