text,label
adversaries may attempt to dump the contents of and to enable offline password cracking,0
most modern linux operating systems use combination of and to store user account information including password hashes in,0
by default is only readable by the root user,0
the linux utility unshadow can be used to combine the two files in format suited for password cracking utilities such as john the ripper,0
adversaries may poison address resolution protocol caches to position themselves between the communication of two or more networked devices,0
this activity may be used to enable follow on behaviors such as network sniffing or transmitted data manipulation,0
the arp protocol is used to resolve ipv4 addresses to link layer addresses such as media access control address,0
devices in local network segment communicate with each other by using link layer addresses,0
if networked device does not have the link layer address of particular networked device it may send out broadcast arp request to the local network to translate the ip address to mac address,0
the device with the associated ip address directly replies with its mac address,0
the networked device that made the arp request will then use as well as store that information in its arp cache,0
an adversary may passively wait for an arp request to poison the arp cache of the requesting device,0
the adversary may reply with their mac address thus deceiving the victim by making them believe that they are communicating with the intended networked device,0
for the adversary to poison the arp cache their reply must be faster than the one made by the legitimate ip address owner,0
adversaries may also send gratuitous arp reply that maliciously announces the ownership of particular ip address to all the devices in the local network segment,0
the arp protocol is stateless and does not require authentication,0
therefore devices may wrongly add or update the mac address of the ip address in their arp cache,0
adversaries may use arp cache poisoning as means to intercept network traffic,0
this activity may be used to collect and relay data such as credentials especially those sent over an insecure unencrypted protocol,0
cleaver has used custom tools to facilitate arp cache poisoning,0
adversaries may reveal credentials of accounts that have disabled kerberos preauthentication by password cracking kerberos messages,0
preauthentication offers protection against offline password cracking,0
when enabled user requesting access to resource initiates communication with the domain controller by sending an authentication server request message with timestamp that is encrypted with the hash of their password,0
if and only if the dc is able to successfully decrypt the timestamp with the hash of the user password it will then send an authentication server response message that contains the ticket granting ticket to the user,0
part of the as rep message is signed with the user password,0
for each account found without preauthentication an adversary may send an as req message without the encrypted timestamp and receive an as rep message with tgt data which may be encrypted with an insecure algorithm such as rc4,0
the recovered encrypted data may be vulnerable to offline password cracking attacks similarly to kerberoasting and expose plaintext credentials,0
an account registered to domain with or without special privileges can be abused to list all domain accounts that have preauthentication disabled by utilizing windows tools like powershell with an ldap filter,0
alternatively the adversary may send an as req message for each user,0
if the dc responds without errors the account does not require preauthentication and the as rep message will already contain the encrypted data,0
cracked hashes may enable persistence privilege escalation and lateral movement via access to valid accounts,0
adversaries may circumvent mechanisms designed to control elevate privileges to gain higher level permissions,0
most modern systems contain native elevation control mechanisms that are intended to limit privileges that user can perform on machine,0
authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk,0
an adversary can perform several methods to take advantage of built in control mechanisms in order to escalate privileges on system,0
adversaries may modify access tokens to operate under different user or system security context to perform actions and bypass access controls,1
windows uses access tokens to determine the ownership of running process,1
